,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
,21,16,4.1,17192.30769,,,,,,
,21,17,3.6,17769.23077,,,,,,
,21,18,2.6,18923.07692,,,,,,
,21,19,1.9,19730.76923,,,,,,
,21,20,1.3,20423.07692,,,,,,
,21,21,0.6,21230.76923,,,,,,
,21,22,-0.1,22038.46154,,,,,,
,21,23,-0.7,22730.76923,,,,,,
,21,24,-1.4,23538.46154,,,,,,
,22,1,-2,24230.76923,,,,,,
,22,2,-2.8,25153.84615,,,,,,
,22,3,-3.6,26076.92308,,,,,,
,22,4,-4.1,26653.84615,,,,,,
,22,5,-4.7,27346.15385,,,,,,
,22,6,-5.2,27923.07692,,,,,,
,22,7,-5.6,28384.61538,,,,,,
,22,8,-6.1,28961.53846,,,,,,
,22,9,-6.3,29192.30769,,,,,,
,22,10,-5.1,27807.69231,,,,,,
,22,11,-4,26538.46154,,,,,,
,22,12,-2.8,25153.84615,,,,,,
,22,13,-2,24230.76923,,,,,,
,22,14,-1.4,23538.46154,,,,,,
,22,15,-1.2,23307.69231,,,,,,
,22,16,-1.5,23653.84615,,,,,,
,22,17,-2.4,24692.30769,,,,,,
,22,18,-3.6,26076.92308,,,,,,
,22,19,-4.1,26653.84615,,,,,,
,22,20,-4.5,27115.38462,,,,,,
,22,21,-4.9,27576.92308,,,,,,
,22,22,-5.3,28038.46154,,,,,,
,22,23,-5.8,28615.38462,,,,,,
,22,24,-6.2,29076.92308,,,,,,
,23,1,-5.7,28500,,,,,,
,23,2,-5,27692.30769,,,,,,
,23,3,-4.4,27000,,,,,,
,23,4,-4,26538.46154,,,,,,
,23,5,-3.6,26076.92308,,,,,,
,23,6,-3.2,25615.38462,,,,,,
,23,7,-2.9,25269.23077,,,,,,
,23,8,-2.6,24923.07692,,,,,,
,23,9,-2.3,24576.92308,,,,,,
,23,10,0.1,21807.69231,,,,,,
,23,11,2.7,18807.69231,,,,,,
,23,12,5,16153.84615,,,,,,
,23,13,7,13846.15385,,,,,,
,23,14,8.3,12346.15385,,,,,,
,23,15,9.1,11423.07692,,,,,,
,23,16,8.9,11653.84615,,,,,,
,23,17,7.9,12807.69231,,,,,,
,23,18,6.3,14653.84615,,,,,,
,23,19,6.2,14769.23077,,,,,,
,23,20,6.1,14884.61538,,,,,,
,23,21,6,15000,,,,,,
,23,22,5.8,15230.76923,,,,,,
,23,23,5.7,15346.15385,,,,,,
,23,24,5.6,15461.53846,,,,,,
,24,1,4.9,16269.23077,,,,,,
,24,2,4.1,17192.30769,,,,,,
,24,3,3.4,18000,,,,,,
,24,4,3,18461.53846,,,,,,
,24,5,2.6,18923.07692,,,,,,
,24,6,2.1,19500,,,,,,
,24,7,1.8,19846.15385,,,,,,
,24,8,1.5,20192.30769,,,,,,
,24,9,1.6,20076.92308,,,,,,
,24,10,2.9,18576.92308,,,,,,
,24,11,4.2,17076.92308,,,,,,
,24,12,5.8,15230.76923,,,,,,
,24,13,6.9,13961.53846,,,,,,
,24,14,7.5,13269.23077,,,,,,
,24,15,7.9,12807.69231,,,,,,
,24,16,7.2,13615.38462,,,,,,
,24,17,6.4,14538.46154,,,,,,
,24,18,5.3,15807.69231,,,,,,
,24,19,5.2,15923.07692,,,,,,
,24,20,5,16153.84615,,,,,,
,24,21,4.9,16269.23077,,,,,,
